"usuario.puntuacion","puntuacion.calidad_construccion","marca","GPS.notes","puntuacion.visor","fecha_lanzamiento","caracteristicas.resolucion","puntuacion.general","caracteristicas.velocidad_obturador","modelo","puntuacion.modo_video","puntuacion.puntuacion_calidad_raw","caracteristicas.peso","puntuacion.precision","tipo_sensor","puntuacion.calidad_jpg","precio","GPS","puntuacion.caracteristicas","puntuacion.ergonomia_manejo","puntuacion.pro_review","puntuacion.luz_baja_alto_ISO","tipo_cuerpo","caracteristicas.volumen"
100,95.7142857142857,"Nikon",NA,92.8571428571429,"2020","6016 x 4016",95.7142857142857,"1/8000 sec","Nikon Z5",61.4285714285714,90.7142857142857,675,76.4285714285714,"CMOS",81.7893217893218,1399,"None",85.7142857142857,85.7142857142857,89,82.4675324675325,"SLR-style mirrorless",947380
100,89.8701298701299,"Leica",NA,88.7012987012987,"2020","7864 x 5200",38.3116883116883,"1/4000 sec","Leica M10-R",35.7142857142857,83.7662337662338,660,76.9480519480519,"CMOS",69.2968647514102,8295,"Optional",67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"Rangefinder-style mirrorless",433680
94,88.5714285714286,"Canon",NA,97.1428571428571,"2020","8192 x 5464",71.4285714285714,"1/8000 sec","Canon EOS R5",85.7142857142857,93,738,90,"CMOS",87.1428571428571,3899,"None",92.3809523809524,82.8571428571429,91,85.8441558441558,"SLR-style mirrorless",1190112
95.5186,92.8571428571429,"Canon",NA,92.8571428571429,"2020","5472 x 3648",74.2857142857143,"1/8000 sec","Canon EOS R6",92.8571428571429,82.5714285714286,680,86.4285714285714,"CMOS",77.041847041847,2499,"None",91.4285714285714,87.1428571428571,90,87.2727272727273,"SLR-style mirrorless",1190112
85,87.4285714285714,"Panasonic",NA,83.2857142857143,"2020","5184 x 3888",75,"1/500 sec","Panasonic Lumix DC-G100 (Lumix DC-G110)",89.4285714285714,78.9142857142857,352,74.0714285714286,"CMOS",72.9307359307359,749,"None",89,83.7142857142857,85.6,72.8311688311688,"SLR-style mirrorless",519912
NA,74.2857142857143,"Sony",NA,82.8571428571429,"2020","5472 x 3648",64.2857142857143,"1/2000 sec","Sony ZV-1",98.5714285714286,71.5714285714286,294,82.1428571428571,"CMOS",68.3261183261183,800,"None",90.4761904761905,75.7142857142857,85,74.5454545454545,"Compact",277200
89.9304,88.5714285714286,"Fujifilm",NA,85.7142857142857,"2020","6240 x 4160",71.4285714285714,"1/8000 sec","Fujifilm X-T4",90,85.1428571428571,607,77.1428571428571,"CMOS",77.7200577200577,1699,"None",83.3333333333333,88.5714285714286,88,80.1298701298701,"SLR-style mirrorless",1054620
91.114,92.8571428571429,"Olympus",NA,64.2857142857143,"2020","5184 x 3888",57.1428571428571,"1/8000 sec","Olympus OM-D E-M1 Mark III",68.5714285714286,73.8571428571429,580,67.8571428571429,"CMOS",71.1111111111111,1799,"None",90.4761904761905,88.5714285714286,83,63.5064935064935,"SLR-style mirrorless",841386
NA,71.4285714285714,"Canon",NA,74.2857142857143,"2020","6000 x 4000",77.1428571428571,"1/4000 sec","Canon EOS Rebel T8i (EOS 850D / EOS Kiss X10i)",35.7142857142857,81.4285714285714,515,74.2857142857143,"CMOS",71.4285714285714,749,"None",64.2857142857143,78.5714285714286,80,67.1428571428571,"Compact SLR",1025468
NA,71.4285714285714,"Ricoh",NA,71.4285714285714,"2020","4608 x 3456",64.2857142857143,"1/4000 sec","Ricoh WG-70",57.1428571428571,80.6428571428571,193,68.9285714285714,"CMOS",64.2857142857143,279,"None",64.2857142857143,64.2857142857143,73,64.2857142857143,"Compact",228780
98.1182,87.1428571428571,"Fujifilm",NA,95.7142857142857,"2020","6240 x 4160",72.8571428571429,"1/4000 sec","Fujifilm X100V",71.4285714285714,86.1428571428571,478,75,"CMOS",77.950937950938,1399,"None",77.1428571428571,82.8571428571429,86,78.5714285714286,"Large sensor compact",508800
90,64.2857142857143,"Fujifilm",NA,81.4285714285714,"2020","6000 x 4000",82.8571428571429,"1/4000 sec","Fujifilm X-T200",78.5714285714286,84.2857142857143,370,73.5714285714286,"CMOS",75.5411255411255,699,"None",71.4285714285714,68.5714285714286,82,78.5714285714286,"SLR-style mirrorless",559020
90,89.8701298701299,"Leica",NA,88.7012987012987,"2020","7864 x 5200",38.3116883116883,NA,"Leica M10 Monochrom",35.7142857142857,83.7662337662338,NA,76.9480519480519,"CMOS",69.2968647514102,8295,NA,67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"Rangefinder-style mirrorless",NA
62.5,92.8571428571429,"Nikon",NA,81.4285714285714,"2020","6048 x 4024",78.5714285714286,"1/8000 sec","Nikon D780",90,86.1428571428571,840,77.1428571428571,"CMOS",81.0966810966811,2299,"None",81.4285714285714,81.4285714285714,87,82.7272727272727,"Mid-size SLR",1269504
91.6666,64.2857142857143,"Nikon",NA,82.5814275814276,"2020","4608 x 3456",57.1428571428571,"1/4000 sec","Nikon Coolpix P950",71.4285714285714,57.1428571428571,1005,72.3841698841699,"CMOS",57.1428571428571,799,"None",92.8571428571429,78.5714285714286,79,64.2857142857143,"SLR-like (bridge)",2310000
87.7778,97.1428571428571,"Canon",NA,97.1428571428571,"2020","5472 x 3648",71.4285714285714,"1/8000 sec","Canon EOS-1D X Mark III",92.8571428571429,81.7142857142857,1440,83.5714285714286,"CMOS",81.4430014430014,6499,"Built-in",88.0952380952381,94.2857142857143,92,91.4285714285714,"Large SLR",2203152
100,89.8701298701299,"Leica",NA,88.7012987012987,"2019","8368 x 5584",38.3116883116883,"1/8000 sec","Leica SL2",35.7142857142857,83.7662337662338,916,76.9480519480519,"CMOS",69.2968647514102,5999,"None",67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"SLR-style mirrorless",1296626
85.4546,95.7142857142857,"Fujifilm",NA,68.5714285714286,"2019","6240 x 4160",57.1428571428571,NA,"Fujifilm X-Pro3",82.8571428571429,86.4285714285714,497,77.8571428571429,"CMOS",77.7200577200577,1799,"None",83.8095238095238,78.5714285714286,85,77.5324675324675,"Rangefinder-style mirrorless",538338
87.7402,85.7142857142857,"Olympus",NA,68.5714285714286,"2019","5184 x 3888",71.4285714285714,"1/8000 sec","Olympus OM-D E-M5 III",71.4285714285714,75.8571428571429,414,67.1428571428571,"CMOS",74.0836940836941,1199,"None",85.7142857142857,74.2857142857143,82,62.3376623376623,"SLR-style mirrorless",531250
NA,61.4285714285714,"Olympus",NA,68.5714285714286,"2019","4608 x 3456",78.5714285714286,"1/4000 sec","Olympus PEN E-PL10",57.1428571428571,74.2857142857143,380,71.4285714285714,"CMOS",71.4285714285714,599,"None",67.1428571428571,67.1428571428571,77,64.2857142857143,"Rangefinder-style mirrorless",310284
